Quarter,MM COP,Period,Año Texto
1Q,-7780710,1,2023
1Q,-1814514,2,2023
1Q,-1455966,3,2023
2Q,-8226139.18,4,2023
2Q,-7662074.67,5,2023
2Q,-9770846.88,6,2023
3Q,-1217073.1099999994,7,2023
3Q,1806604.789999999,8,2023
3Q,181337.00999999978,9,2023
4Q,-8994336.42,10,2023
4Q,-6162908.550000001,11,2023
4Q,-8012592.84,12,2023
1Q,-3139717.01,1,2024
1Q,2263256.0999999996,2,2024
1Q,3375025.83,3,2024
2Q,12203622.29,4,2024
2Q,7831272.24,5,2024
2Q,1025728.9600000009,6,2024
3Q,5687977.4399999995,7,2024
3Q,20646211.95,8,2024
3Q,-73850494.53999999,9,2024
4Q,-85554930.9,10,2024
4Q,-81825189.08,11,2024
4Q,27942906.24,12,2024
1Q,23707901.97,1,2025
1Q,31565412.5,2,2025
1Q,33172161.96,3,2025
2Q,36209205.62,4,2025
2Q,25919048.75,5,2025
2Q,17399064.65,6,2025
3Q,21109404.49,7,2025
3Q,21732349.58,8,2025
3Q,30812932.119999997,9,2025
4Q,22612382.2,10,2025
4Q,20884129.15,11,2025
4Q,35772029.150000006,12,2025
