Quarter,Days,Period,Año Texto
1Q,280.61,1,2023
1Q,57.36,2,2023
1Q,91.43,3,2023
2Q,86.67,4,2023
2Q,87.92,5,2023
2Q,123.43,6,2023
3Q,33.08,7,2023
3Q,117.51,8,2023
3Q,59.53,9,2023
4Q,150.58,10,2023
4Q,114.13,11,2023
4Q,141.86,12,2023
1Q,99.46,1,2024
1Q,74.08,2,2024
1Q,237.44,3,2024
2Q,57.64,4,2024
2Q,91.74,5,2024
2Q,73.82,6,2024
3Q,82.41,7,2024
3Q,48.87,8,2024
3Q,84.56,9,2024
4Q,99.29,10,2024
4Q,51.51,11,2024
4Q,40.76,12,2024
1Q,111.41,1,2025
1Q,80.04,2,2025
1Q,141.17,3,2025
2Q,95.08,4,2025
2Q,167.96,5,2025
2Q,99.44,6,2025
3Q,75.19,7,2025
3Q,73.75,8,2025
3Q,127.16,9,2025
4Q,168.45,10,2025
4Q,252.03,11,2025
4Q,64.48,12,2025
