Quarter,$ COP,Period,Año Texto
1Q,0.41214829071778414,1,2023
1Q,-1.253394069918375,2,2023
1Q,0.4143920656878246,3,2023
2Q,0.016479467483699828,4,2023
2Q,1.850402173277712,5,2023
2Q,3.875740662530711,6,2023
3Q,1.1314130625846444,7,2023
3Q,0.9764539882316142,8,2023
3Q,1.1289018545047989,9,2023
4Q,1.8060537454703836,10,2023
4Q,2.1102395102177396,11,2023
4Q,-5.629406719330317,12,2023
1Q,-20.444639980751592,1,2024
1Q,0.9846401194071731,2,2024
1Q,0.04192654494981024,3,2024
2Q,-0.48019848676315796,4,2024
2Q,0.23449706748546267,5,2024
2Q,1.3247121618786017,6,2024
3Q,0.5969026827041181,7,2024
3Q,0.21578153349763715,8,2024
3Q,0.8498925332299756,9,2024
4Q,0.9577004046675922,10,2024
4Q,0.9323839003988668,11,2024
4Q,0.035118160827010185,12,2024
1Q,-0.0020116703969987907,1,2025
1Q,-0.0028725027785633755,2,2025
1Q,0.03439200839856423,3,2025
2Q,0.03742741013400785,4,2025
2Q,0.0615170413151499,5,2025
2Q,0.12095898006316104,6,2025
3Q,0.09895385819058322,7,2025
3Q,0.09474567753597062,8,2025
3Q,0.04917507769569523,9,2025
4Q,0.05123213006945818,10,2025
4Q,0.04557191721083487,11,2025
4Q,0.06152210071054328,12,2025
