Quarter,%,Period,Año Texto
1Q,3.28,1,2023
1Q,0.15,2,2023
1Q,0.08,3,2023
2Q,0.25,4,2023
2Q,0.18,5,2023
2Q,0.21,6,2023
3Q,0.03,7,2023
3Q,-0.01,8,2023
3Q,0.02,9,2023
4Q,0.11,10,2023
4Q,0.08,11,2023
4Q,0,12,2023
1Q,-0.7,1,2024
1Q,-0.61,2,2024
1Q,-0.56,3,2024
2Q,-0.63,4,2024
2Q,-0.38,5,2024
2Q,-0.15,6,2024
3Q,-0.19,7,2024
3Q,-0.31,8,2024
3Q,-0.27,9,2024
4Q,-0.13,10,2024
4Q,-0.14,11,2024
4Q,0,12,2024
1Q,0.44,1,2025
1Q,-0.07,2,2025
1Q,-0.07,3,2025
2Q,-0.09,4,2025
2Q,0.12,5,2025
2Q,0.24,6,2025
3Q,0.16,7,2025
3Q,0.14,8,2025
3Q,0.05,9,2025
4Q,0.13,10,2025
4Q,0.14,11,2025
4Q,0.01,12,2025
